S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Kachchh(1),CHAVDA VINOD LAKHAMSHI,659574,268782
2,Patan(3),DABHI BHARATSINHJI SHANKARJI,591947,31876
3,Mahesana(4),HARIBHAI PATEL,686406,328046
4,Sabarkantha(5),SHOBHANABEN MAHENDRASINH BARAIYA,677318,155682
5,Gandhinagar(6),AMIT SHAH,1010972,744716
6,Ahmedabad East(7),HASMUKHBHAI PATEL (H.S.PATEL),770459,461755
7,Ahmedabad West(8),DINESHBHAI MAKWANA (ADVOCATE),611704,286437
8,Surendranagar(9),CHANDUBHAI CHHAGANBHAI SHIHORA,669749,261617
9,Rajkot(10),PARSHOTTAMBHAI RUPALA,857984,484260
10,Porbandar(11),DR. MANSUKH MANDAVIYA,633118,383360
11,Jamnagar(12),POONAMBEN HEMATBHAI MAADAM,620049,238008
12,Junagadh(13),CHUDASAMA RAJESHBHAI NARANBHAI,584049,135494
13,Amreli(14),BHARATBHAI MANUBHAI SUTARIYA,580872,321068
14,Bhavnagar(15),NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),716883,455289
15,Anand(16),MITESH PATEL (BAKABHAI),612484,89939
16,Kheda(17),DEVUSINH CHAUHAN,744435,357758
17,Panchmahal(18),RAJPALSINH MAHENDRASINH JADAV,794579,509342
18,Dahod(19),JASWANTSINH SUMANBHAI BHABHOR,688715,333677
19,Vadodara(20),DR. HEMANG JOSHI,873189,582126
20,Chhota Udaipur(21),JASHUBHAI BHILUBHAI RATHVA,796589,398777
21,Bharuch(22),MANSUKHBHAI DHANJIBHAI VASAVA,608157,85696
22,Bardoli(23),PARBHUBHAI NAGARBHAI VASAVA,763950,230253
23,Surat(24),MUKESHKUMAR CHANDRAKAANT DALAL (Uncontested),-,-
24,Navsari(25),C R PATIL,1031065,773551
25,Valsad(26),DHAVAL LAXMANBHAI PATEL,764226,210704
